Red,Yellow,Green,TimeActive,Time
1,0,0,3,0:00:03
0,1,0,9,0:00:12
0,0,1,1,0:00:13
0,1,0,2,0:00:15
1,0,0,9,0:00:24
0,1,0,3,0:00:27
0,0,1,2,0:00:29
0,1,0,5,0:00:34
1,0,1,6,0:00:40
0,1,0,3,0:00:43
0,0,1,9,0:00:52
0,1,0,1,0:00:53
1,0,0,8,0:01:01
0,1,0,3,0:01:04
0,0,1,9,0:01:13
0,1,0,8,0:01:21
1,0,0,7,0:01:28
0,1,0,7,0:01:35
0,0,1,5,0:01:40
0,1,0,2,0:01:42
1,0,0,1,0:01:43
1,1,0,3,0:01:46
0,0,1,1,0:01:47
0,1,0,1,0:01:48
1,0,0,8,0:01:56
0,1,0,8,0:02:04
0,0,1,8,0:02:12
0,1,0,5,0:02:17
1,0,0,7,0:02:24
0,1,0,8,0:02:32
0,0,1,7,0:02:39
0,1,0,3,0:02:42
1,0,0,6,0:02:48
0,1,0,8,0:02:56
0,0,1,7,0:03:03
0,1,0,3,0:03:06
1,0,0,9,0:03:15
0,1,0,9,0:03:24
0,0,1,6,0:03:30
0,1,0,2,0:03:32
1,0,1,6,0:03:38
0,1,0,3,0:03:41
0,0,1,2,0:03:43
0,1,0,1,0:03:44
1,0,0,9,0:03:53
0,1,0,7,0:04:00
0,0,1,4,0:04:04
0,1,0,3,0:04:07
1,0,0,8,0:04:15
0,1,0,4,0:04:19
0,0,1,6,0:04:25
0,1,0,4,0:04:29
1,0,0,3,0:04:32
0,1,0,7,0:04:39
0,0,1,9,0:04:48
0,1,0,1,0:04:49
1,0,0,8,0:04:57
0,1,0,3,0:05:00
0,0,1,5,0:05:05
0,1,0,2,0:05:07
1,0,0,7,0:05:14
0,1,0,6,0:05:20
0,0,1,1,0:05:21
0,1,0,3,0:05:24
1,0,0,7,0:05:31
0,1,0,9,0:05:40
0,0,1,3,0:05:43
0,1,0,3,0:05:46
1,0,0,7,0:05:53
0,1,0,2,0:05:55
0,0,1,6,0:06:01
0,1,1,1,0:06:02
1,0,0,1,0:06:03
0,1,0,4,0:06:07
0,0,1,5,0:06:12
0,1,0,5,0:06:17
1,0,0,4,0:06:21
0,1,0,1,0:06:22
0,0,1,8,0:06:30
0,1,0,8,0:06:38
1,0,0,8,0:06:46
0,1,0,9,0:06:55
0,0,1,4,0:06:59
0,1,0,8,0:07:07
1,0,0,4,0:07:11
0,1,0,3,0:07:14
0,0,1,3,0:07:17
1,1,0,5,0:07:22
1,0,0,1,0:07:23
0,1,0,7,0:07:30
0,0,1,9,0:07:39
0,1,0,8,0:07:47
1,0,0,9,0:07:56
0,1,0,4,0:08:00
0,0,1,6,0:08:06
0,1,0,8,0:08:14
1,0,0,1,0:08:15
0,1,0,9,0:08:24
0,0,1,9,0:08:33
0,1,0,4,0:08:37
1,0,0,1,0:08:38
0,1,1,8,0:08:46
0,0,1,6,0:08:52
0,1,0,1,0:08:53
1,0,0,9,0:09:02
0,1,0,6,0:09:08
0,0,1,6,0:09:14
0,1,0,7,0:09:21
1,0,0,4,0:09:25
0,1,0,6,0:09:31
0,0,1,5,0:09:36
1,1,0,3,0:09:39
1,0,0,5,0:09:44
0,1,0,4,0:09:48
0,0,1,4,0:09:52
0,1,0,3,0:09:55
1,0,0,9,0:10:04
0,1,0,8,0:10:12
0,0,1,7,0:10:19
0,1,0,3,0:10:22
1,0,0,8,0:10:30
0,1,0,1,0:10:31
1,0,1,2,0:10:33
0,1,0,6,0:10:39
1,0,0,2,0:10:41
0,1,0,3,0:10:44
0,0,1,2,0:10:46
0,1,0,4,0:10:50
1,0,0,4,0:10:54
1,1,0,1,0:10:55
0,0,1,8,0:11:03
0,1,0,3,0:11:06
1,0,0,3,0:11:09
0,1,0,9,0:11:18
0,0,1,4,0:11:22
0,1,0,9,0:11:31
1,0,1,1,0:11:32
0,1,0,9,0:11:41
0,0,1,3,0:11:44
0,1,0,3,0:11:47
1,0,0,2,0:11:49
0,1,0,2,0:11:51
0,0,1,1,0:11:52
0,1,0,5,0:11:57
1,0,0,6,0:12:03
0,1,0,8,0:12:11
0,0,1,8,0:12:19
0,1,0,8,0:12:27
1,0,0,9,0:12:36
0,1,0,9,0:12:45
0,0,1,4,0:12:49
0,1,0,6,0:12:55
1,0,0,8,0:13:03
0,1,0,4,0:13:07
0,0,1,1,0:13:08
0,1,0,4,0:13:12
1,0,0,3,0:13:15
0,1,0,6,0:13:21
0,0,1,3,0:13:24
0,1,0,4,0:13:28
1,0,0,2,0:13:30
0,1,0,1,0:13:31
0,0,1,8,0:13:39
0,1,0,9,0:13:48
1,0,0,7,0:13:55
0,1,0,6,0:14:01
0,0,1,7,0:14:08
0,1,0,3,0:14:11
1,0,0,6,0:14:17
0,1,0,8,0:14:25
0,0,1,8,0:14:33
0,1,0,3,0:14:36
1,0,0,6,0:14:42
1,1,0,8,0:14:50
0,0,1,5,0:14:55
0,1,0,6,0:15:01
1,0,0,9,0:15:10
0,1,0,2,0:15:12
0,0,1,1,0:15:13
0,1,0,7,0:15:20
1,0,0,5,0:15:25
0,1,0,6,0:15:31
0,0,1,7,0:15:38
0,1,0,5,0:15:43
1,0,0,3,0:15:46
0,1,0,7,0:15:53
0,0,1,7,0:16:00
0,1,0,6,0:16:06
1,0,0,3,0:16:09
0,1,0,4,0:16:13
0,0,1,2,0:16:15
0,1,0,4,0:16:19
1,0,0,2,0:16:21
0,1,0,8,0:16:29
0,0,1,8,0:16:37
0,1,0,2,0:16:39
1,0,0,4,0:16:43
0,1,0,4,0:16:47
0,0,1,5,0:16:52
0,1,0,9,0:17:01
1,0,0,3,0:17:04
0,1,0,2,0:17:06
0,0,1,6,0:17:12
0,1,0,7,0:17:19
1,0,0,8,0:17:27
0,1,0,1,0:17:28
0,0,1,6,0:17:34
0,1,0,4,0:17:38
1,0,0,7,0:17:45
0,1,0,8,0:17:53
0,0,1,9,0:18:02
0,1,0,1,0:18:03
1,0,0,4,0:18:07
0,1,0,1,0:18:08
0,0,1,3,0:18:11
0,1,0,9,0:18:20
1,1,0,1,0:18:21
0,1,0,6,0:18:27
0,0,1,8,0:18:35
0,1,0,7,0:18:42
1,0,0,7,0:18:49
0,1,0,1,0:18:50
0,0,1,5,0:18:55
0,1,0,9,0:19:04
1,0,0,9,0:19:13
0,1,0,8,0:19:21
0,0,1,1,0:19:22
0,1,0,2,0:19:24
1,0,0,6,0:19:30
0,1,0,6,0:19:36
0,0,1,7,0:19:43
0,1,0,5,0:19:48
1,1,0,7,0:19:55
0,1,0,7,0:20:02
0,0,1,2,0:20:04
0,1,0,6,0:20:10
1,0,0,7,0:20:17
0,1,0,8,0:20:25
0,0,1,9,0:20:34
0,1,0,9,0:20:43
1,0,0,4,0:20:47
0,1,0,2,0:20:49
0,0,1,6,0:20:55
0,1,0,6,0:21:01
1,0,0,7,0:21:08
0,1,0,4,0:21:12
0,0,1,3,0:21:15
0,1,0,6,0:21:21
1,0,0,3,0:21:24
0,1,0,7,0:21:31
0,0,1,1,0:21:32
0,1,0,3,0:21:35
